_time,occupancy,temperature
2025-04-15 07:40:00+00:00,0,18.745
2025-04-15 07:40:00+00:00,0,19.436666666666667
2025-04-15 08:05:00+00:00,0,22.929999999999996
2025-04-15 08:40:00+00:00,0,19.09
2025-04-15 08:40:00+00:00,0,19.786666666666665
2025-04-15 09:05:00+00:00,0,22.965
2025-04-15 09:40:00+00:00,0,20.263333333333332
2025-04-15 10:40:00+00:00,0,20.060000000000002
2025-04-15 10:40:00+00:00,0,20.65
2025-04-15 11:05:00+00:00,0,23.186666666666667
2025-04-15 11:40:00+00:00,0,20.416666666666668
2025-04-15 11:40:00+00:00,0,21.16333333333333
2025-04-15 12:05:00+00:00,0,23.416666666666668
2025-04-15 12:40:00+00:00,0,20.625
2025-04-15 12:40:00+00:00,0,21.55666666666666
2025-04-15 13:40:00+00:00,0,20.905
2025-04-15 14:05:00+00:00,0,23.744999999999997
2025-04-15 14:10:00+00:00,0,23.81
2025-04-15 14:40:00+00:00,0,21.185
2025-04-15 14:40:00+00:00,0,22.24666666666667
2025-04-15 15:40:00+00:00,0,21.405
2025-04-15 15:40:00+00:00,0,22.496666666666666
2025-04-15 15:45:00+00:00,0,22.56
2025-04-15 16:40:00+00:00,0,22.639999999999997
2025-04-15 16:45:00+00:00,0,22.68
2025-04-15 17:40:00+00:00,0,21.59
2025-04-15 17:40:00+00:00,0,22.72666666666667
2025-04-15 17:45:00+00:00,0,22.75
2025-04-15 18:05:00+00:00,0,23.78
2025-04-15 18:10:00+00:00,0,23.75
2025-04-15 18:40:00+00:00,0,22.655
2025-04-15 18:45:00+00:00,0,21.25
2025-04-15 19:05:00+00:00,0,23.715
2025-04-15 19:40:00+00:00,0,22.405
2025-04-15 20:05:00+00:00,0,23.65
2025-04-15 20:40:00+00:00,0,20.685
2025-04-15 20:40:00+00:00,0,22.036666666666665
2025-04-15 20:45:00+00:00,0,20.56
2025-04-15 21:40:00+00:00,0,20.465
2025-04-15 21:40:00+00:00,0,21.763333333333332
2025-04-15 23:40:00+00:00,0,20.27
2025-04-15 23:40:00+00:00,0,21.413333333333338
2025-04-16 00:05:00+00:00,0,23.58
2025-04-16 00:40:00+00:00,0,20.215
2025-04-16 00:40:00+00:00,0,21.33
2025-04-16 01:05:00+00:00,0,23.52
2025-04-16 01:40:00+00:00,0,20.15
2025-04-16 01:40:00+00:00,0,21.27
2025-04-16 02:40:00+00:00,0,21.310000000000002
2025-04-16 03:40:00+00:00,0,21.275
2025-04-16 04:05:00+00:00,0,23.465
